,Name,BI_LSTM-RI,NONE_TRPLT-RI,NONE_MREC-RI,NONE_VAE-RI,IDEC_TRPLT-RI,BI_GRU-RI,RES_CNN-RI,IDEC_REC-RI,D_RNN-RI,IDEC_MREC-RI,NONE_CNRV-RI,BI_RNN-RI,NONE_REC-RI,D_CNN-RI,MLP-RI,S_CNN-RI,BI_RNN+ATTN-RI,IDEC_CNRV-RI,IDEC_VAE-RI,BI_LSTM-ARI,NONE_TRPLT-ARI,NONE_MREC-ARI,NONE_VAE-ARI,IDEC_TRPLT-ARI,BI_GRU-ARI,RES_CNN-ARI,IDEC_REC-ARI,D_RNN-ARI,IDEC_MREC-ARI,NONE_CNRV-ARI,BI_RNN-ARI,NONE_REC-ARI,D_CNN-ARI,MLP-ARI,S_CNN-ARI,BI_RNN+ATTN-ARI,IDEC_CNRV-ARI,IDEC_VAE-ARI,BI_LSTM-NMI,NONE_TRPLT-NMI,NONE_MREC-NMI,NONE_VAE-NMI,IDEC_TRPLT-NMI,BI_GRU-NMI,RES_CNN-NMI,IDEC_REC-NMI,D_RNN-NMI,IDEC_MREC-NMI,NONE_CNRV-NMI,BI_RNN-NMI,NONE_REC-NMI,D_CNN-NMI,MLP-NMI,S_CNN-NMI,BI_RNN+ATTN-NMI,IDEC_CNRV-NMI,IDEC_VAE-NMI
106,SonyAIBORobotSurface2,0.560444852,0.662132955,0.75118,0.672547383,0.662592326,0.64672875,0.64874125,0.664958,0.652132955,0.671126,0.631218398,0.61282375,0.736412,0.6558625,0.65407125,0.6668725,0.62429,0.673069928,0.689057618,0.08811481,0.344002171,0.399173,0.38537486,0.360066636,0.29243,0.29649,0.327285,0.334002171,0.339724,0.258095096,0.22341,0.377037,0.3109275,0.3072075,0.33317875,0.24579875,0.343014948,0.396957132,0.084182469,0.284987641,0.48627,0.294863445,0.274162874,0.2118725,0.21607,0.259349,0.244987641,0.271706,0.211333979,0.1510075,0.407251,0.22932,0.22702,0.25169875,0.17369,0.277187622,0.309523472
107,StarLightCurves,0.795211764,0.748841962,0.759904,0.759190708,0.749176212,0.75992625,0.77392875,0.747985,0.738841962,0.733921,0.714475102,0.771205,0.732104,0.76760625,0.7030575,0.74592625,0.68881125,0.738838794,0.775724428,0.596974186,0.498592416,0.399868,0.539837191,0.514694053,0.50646125,0.5303525,0.479077,0.488592416,0.448594,0.42504264,0.528515,0.427174,0.5152625,0.38290125,0.4696625,0.37312625,0.485641479,0.551541738,0.68012145,0.590036117,0.514521,0.599956478,0.579194865,0.510805,0.58115875,0.531312,0.550036117,0.512748,0.504459461,0.55423,0.478673,0.60346625,0.4701825,0.55389875,0.46762875,0.547714295,0.614544229
108,Strawberry,0.522551398,0.479491353,0.779224,0.489877226,0.479884251,0.50881375,0.51744125,0.554163,0.469491353,0.551078,0.504809183,0.50224,0.708591,0.503455,0.50346625,0.51054625,0.50289875,0.507124684,0.506318541,-0.026411469,-0.061841143,0.435429,-0.020469174,-0.04577087,0.0085025,0.01488625,0.048655,-0.071841143,0.040308,-0.043659678,-0.019895,0.258822,0.01181625,-0.024185,0.00540375,-0.03926375,-0.043705025,-0.00883395,0.03995542,0.105663011,0.531173,0.115534104,0.09486355,0.055215,0.06609625,0.142242,0.065663011,0.154354,0.08253009,0.0795525,0.387145,0.10524125,0.14687625,0.093495,0.08143375,0.069188023,0.130094674
109,SwedishLeaf,0.706035587,0.89247592,0.755461,0.901274578,0.891488679,0.87895375,0.911435,0.91494,0.880993103,0.92899,0.93898124,0.87203,0.836647,0.894225,0.87585125,0.92802,0.87977375,0.938730526,0.916930698,0.130102832,0.331918788,0.422722,0.374273373,0.344496063,0.29375375,0.4158725,0.449948,0.3298657,0.527472,0.538906033,0.2509925,0.430927,0.34221875,0.29468,0.4936125,0.2548575,0.535711399,0.391664886,0.450082114,0.566179413,0.516589,0.577794243,0.560003844,0.5206025,0.64544875,0.656856,0.526712003,0.716078,0.723611199,0.47796125,0.57313,0.58705875,0.54219875,0.69823625,0.4978925,0.719478429,0.593640553
110,Symbols,0.86071889,0.878940142,0.669621,0.859642227,0.852096489,0.88906625,0.91220625,0.913238,0.885049058,0.913686,0.975775302,0.89905,0.81594,0.9029575,0.887345,0.9185975,0.89329125,0.981935385,0.910150969,0.597340607,0.605949362,0.292569,0.662148944,0.646624287,0.62865875,0.71396,0.718242,0.662719106,0.719203,0.912676876,0.6645375,0.520917,0.67996,0.6326025,0.73046875,0.65543625,0.934867076,0.679531445,0.74653219,0.792169499,0.363927,0.806269281,0.778485158,0.75378,0.828155,0.835805,0.762744645,0.842375,0.920969786,0.78392375,0.634034,0.80436375,0.76191625,0.84572125,0.78683375,0.934317592,0.804263596
111,SyntheticControl,0.637045075,0.842301669,0.702537,0.851745032,0.842488779,0.89955375,0.89696125,0.847501,0.828636017,0.866506,0.985774439,0.919605,0.711637,0.8925575,0.8594175,0.8749125,0.8795425,0.94433222,0.86616866,0.244697382,0.53009996,0.298694,0.561027937,0.541217766,0.653345,0.668455,0.578602,0.522288635,0.622289,0.948571461,0.73491375,0.336941,0.65819875,0.58057375,0.6228675,0.61371375,0.802203641,0.596978066,0.581660069,0.71967942,0.384989,0.735621952,0.705320158,0.75048875,0.80962875,0.718161,0.690217575,0.761307,0.953798139,0.83663625,0.435079,0.809,0.7487575,0.8050175,0.762285,0.849497622,0.730982482
112,ToeSegmentation1,0.52856504,0.478750313,0.659465,0.489259858,0.479105139,0.50155625,0.516635,0.529366,0.468727944,0.519678,0.686293874,0.50003125,0.577153,0.500575,0.4991825,0.50112625,0.52265875,0.645536363,0.505848469,0.057292812,-0.022746183,0.256109,0.018592342,-0.006365029,0.00319875,0.03340625,0.046897,-0.032635922,0.027416,0.372662461,0.00012,0.116444,0.00115125,-0.00163375,0.00259125,0.04581625,0.291114106,0.030544284,0.045517778,0.000909076,0.320441,0.010515178,-0.009858789,0.00438,0.0318475,0.043667,-0.039182861,0.025928,0.369410498,0.00231875,0.095362,0.00396875,0.00147125,0.00471,0.05063,0.253848953,0.024961239
113,ToeSegmentation2,0.686893027,0.479057104,0.684762,0.490066919,0.480677766,0.5312625,0.61821,0.635791,0.470070637,0.577273,0.686982273,0.53454875,0.707205,0.50130375,0.499425,0.5268625,0.6099125,0.650784958,0.506118608,0.231749321,-0.019929173,0.288458,0.023051421,-0.004240874,0.0448175,0.14595625,0.171641,-0.030077614,0.113452,0.36509823,0.0343375,0.319673,0.00043375,-0.00309375,0.0241125,0.15277875,0.292327656,0.035138749,0.223783633,0.01078418,0.366412,0.020971984,-0.000521347,0.02279875,0.0627725,0.119828,-0.029048983,0.115713,0.302621347,0.0350075,0.37503,0.021345,0.0049125,0.02523,0.112015,0.284374344,0.036763091
114,Trace,0.874371859,0.730559221,0.598348,0.741280113,0.730543078,0.76485375,0.81172,0.827721,0.720314482,0.786943,0.874572864,0.74988625,0.683052,0.74915,0.75031375,0.745075,0.76566625,0.874516332,0.757031396,0.66488026,0.331068638,0.105356,0.351161852,0.349235984,0.42211,0.53184125,0.575905,0.334415417,0.492045,0.66929249,0.3546425,0.312739,0.32879375,0.39273875,0.3627275,0.39287125,0.670286112,0.407637677,0.7539543,0.520519152,0.168378,0.528120345,0.501741036,0.5554225,0.64373875,0.659364,0.472541709,0.589862,0.75951289,0.513575,0.394651,0.50243375,0.53170375,0.5113375,0.52058,0.760983187,0.543919632
115,TwoLeadECG,0.514692213,0.481598865,0.644358,0.492049772,0.48197586,0.50437375,0.502665,0.531524,0.471598865,0.531051,0.659586132,0.50197875,0.655329,0.5005475,0.50178125,0.49957125,0.5234825,0.561761628,0.508577377,0.029455337,-0.016798936,0.142683,0.024421285,-0.000656807,0.00874625,0.005385,0.049755,-0.026798936,0.048775,0.319365237,0.00406625,0.154086,0.0011075,0.00356875,-0.0004625,0.04708875,0.123872702,0.036311792,0.02480168,0.002946482,0.208484,0.012864155,-0.007841678,0.00695375,0.0049025,0.057496,-0.037053518,0.056469,0.31028126,0.0036,0.201945,0.0014275,0.0032325,2.5e-06,0.03961125,0.122938752,0.027492779
