,Name,PAM-Unsupervised-SWALE-RI,PAM-Unsupervised-EDR-RI,PAM-Supervised-SWALE-RI,PAM-Supervised-EDR-RI,PAM-Supervised-MSM-RI,PAM-Supervised-DTW-RI,PAM-Unsupervised-LCSS-RI,PAM-Supervised-ERP-RI,PAM-Supervised-LCSS-RI,PAM-Unsupervised-TWED-RI,PAM-Unsupervised-ERP-RI,PAM-Supervised-TWED-RI,PAM-Unsupervised-DTW-RI,PAM-Unsupervised-MSM-RI,k-Shape-RI,PAM-Unsupervised-SWALE-ARI,PAM-Unsupervised-EDR-ARI,PAM-Supervised-SWALE-ARI,PAM-Supervised-EDR-ARI,PAM-Supervised-MSM-ARI,PAM-Supervised-DTW-ARI,PAM-Unsupervised-LCSS-ARI,PAM-Supervised-ERP-ARI,PAM-Supervised-LCSS-ARI,PAM-Unsupervised-TWED-ARI,PAM-Unsupervised-ERP-ARI,PAM-Supervised-TWED-ARI,PAM-Unsupervised-DTW-ARI,PAM-Unsupervised-MSM-ARI,k-Shape-ARI,PAM-Unsupervised-SWALE-NMI,PAM-Unsupervised-EDR-NMI,PAM-Supervised-SWALE-NMI,PAM-Supervised-EDR-NMI,PAM-Supervised-MSM-NMI,PAM-Supervised-DTW-NMI,PAM-Unsupervised-LCSS-NMI,PAM-Supervised-ERP-NMI,PAM-Supervised-LCSS-NMI,PAM-Unsupervised-TWED-NMI,PAM-Unsupervised-ERP-NMI,PAM-Supervised-TWED-NMI,PAM-Unsupervised-DTW-NMI,PAM-Unsupervised-MSM-NMI,k-Shape-NMI
11,CBF,0.951724137931035,0.6829885059999999,0.8110344829999999,0.7,0.795632184,0.665057471,0.6749425290000001,0.782528736,0.686666667,0.6852873559999999,0.782528736,0.8034482759999999,0.763678161,0.736091954,0.74137931,0.889619255911744,0.280414006,0.578384304,0.323984586,0.535321568,0.240706268,0.271433202,0.512332427,0.300945326,0.287475505,0.512332427,0.554779925,0.474700745,0.402001709,0.40761903899999996,0.895486766192025,0.386090885,0.63667136,0.40575118200000004,0.59703864,0.331144681,0.377442024,0.58543119,0.40049643799999995,0.371002279,0.58543119,0.5909016539999999,0.573366192,0.48110664,0.491190915
12,Chinatown,0.605263157894737,0.760526316,0.590526316,0.706315789,0.6410526320000001,0.5215789470000001,0.749473684,0.6078947370000001,0.607368421,0.582105263,0.6078947370000001,0.673684211,0.545789474,0.664736842,0.530526316,0.208772903942254,0.52175548,0.18488244899999998,0.41469827600000003,0.282065932,0.049500410999999994,0.49894128200000004,0.215405443,0.216045861,0.164988948,0.215405443,0.34782029999999997,0.092893294,0.32876671399999996,0.059977765,0.191858096681472,0.510972364,0.217709701,0.46335592700000006,0.260031566,0.072113947,0.49177528200000004,0.224707475,0.209750673,0.17665498,0.224707475,0.34063587,0.111716516,0.296236911,0.09675137699999999
13,ChlorineConcentration,0.532032606997454,0.529370192,0.5254165479999999,0.529561349,0.518532134,0.5282958520000001,0.529783753,0.527227946,0.528093667,0.522454531,0.527227946,0.5214822029999999,0.528387755,0.527022084,0.523446159,0.00920217433897234,0.003393386,0.00103769,0.0065119,-0.0017141860000000001,0.001258358,0.0057152719999999995,0.000811765,0.001795586,-0.001809545,0.000811765,-0.001969484,0.000322775,0.001276016,-0.0022647329999999997,0.00917610225458465,0.009860763,0.012846786,0.012823888,0.015508798,0.009803561,0.010401579000000001,0.011936597,0.013466107,0.012148792,0.011936597,0.011798642,0.009876361,0.011005232,0.012184819
14,CinCECGTorso,0.638461538461538,0.629358974,0.631153846,0.628846154,0.6079487179999999,0.63025641,0.6267948720000001,0.615512821,0.6234615379999999,0.62,0.615512821,0.646282051,0.617179487,0.622948718,0.629487179,0.0908264237353989,0.056645745,0.091368991,0.049092974000000004,0.06768162700000001,0.069403017,0.087608798,0.060509812,0.101334065,0.10007240099999999,0.060509812,0.099969134,0.026081372000000002,0.084647167,0.062859527,0.2340984553831,0.160538571,0.21452557600000002,0.161480813,0.188471097,0.20264602899999998,0.211811864,0.17610706899999998,0.22804347100000003,0.248099862,0.17610706899999998,0.223414342,0.138138006,0.21934267,0.19873654300000002
15,Coffee,0.801587301587302,0.553439153,0.873809524,0.722486772,0.844708995,0.803703704,0.558730159,0.8325396829999999,0.837301587,0.8325396829999999,0.8325396829999999,0.8523809520000001,0.8087301590000001,0.862962963,0.8238095240000001,0.603330068560235,0.105935645,0.74769551,0.44480211,0.6893096190000001,0.607728835,0.11722996699999999,0.664931547,0.675008301,0.665056065,0.664931547,0.704723058,0.6176683479999999,0.7257329220000001,0.647700501,0.601866568457712,0.103816455,0.7423395620000001,0.39388469600000003,0.653061384,0.608442325,0.11998475,0.623895266,0.66558445,0.641105787,0.623895266,0.68091913,0.614166147,0.688418165,0.647261629
16,Computers,0.521413654618474,0.5010249,0.519903614,0.521278715,0.51446747,0.49960160600000003,0.5037204820000001,0.512151004,0.5222779120000001,0.510117269,0.512151004,0.514894779,0.50171245,0.508726104,0.534522088,0.0428207634716168,0.00255928,0.040492851,0.042635651,0.030132579,-0.00033609,0.007829698000000001,0.02490987,0.04509245,0.021765068999999998,0.02490987,0.031169931,0.004175493,0.018728648,0.069689133,0.0340317317426597,0.0052757559999999995,0.044088858,0.034476511,0.047081488,0.0032578909999999997,0.009790808,0.029847647999999997,0.044337861,0.043030774,0.029847647999999997,0.05034879900000001,0.007482009,0.038394075,0.069696252
17,CricketX,0.847867642212115,0.8323867909999999,0.8320703970000001,0.833069672,0.8320835809999999,0.8513545579999999,0.83324237,0.844277899,0.834144091,0.8410137759999999,0.844277899,0.837126096,0.8476277109999999,0.841033551,0.870760003,0.0633442280366298,0.045636015,0.067284964,0.057589604,0.093571363,0.137836777,0.047924385,0.106352042,0.063939208,0.09460822199999999,0.106352042,0.099747155,0.15135148,0.10955071400000001,0.183649975,0.20671140741967,0.17349035899999998,0.224452158,0.20439985,0.27455757399999997,0.33818526,0.18702274600000002,0.28118482,0.22053809100000002,0.27212498,0.28118482,0.279765694,0.35037059600000003,0.29316986300000003,0.390224148
18,CricketY,0.85376046404324,0.838734428,0.849742271,0.8476118909999999,0.8462500820000001,0.84637664,0.847988926,0.848131303,0.845812405,0.846823545,0.848131303,0.848603256,0.85002307,0.845302221,0.864084108,0.13521373954572,0.075231301,0.112674161,0.092079115,0.134266335,0.137652407,0.08787921,0.14628392,0.107313684,0.1114271,0.14628392,0.13797325,0.164076608,0.131826734,0.174136457,0.293330517414557,0.235906984,0.28997746399999996,0.24846782399999998,0.33126854,0.325722985,0.24961601600000002,0.341769079,0.280938737,0.291410336,0.341769079,0.330969752,0.37190309899999996,0.322299936,0.38273380799999995
19,CricketZ,0.846575703645112,0.842437545,0.834250873,0.834729418,0.8411825190000001,0.84552106,0.8374174409999999,0.852121811,0.841313031,0.837981676,0.852121811,0.8357141920000001,0.8509340190000001,0.8474312829999999,0.86882605,0.056015423424806,0.052711342,0.060042251,0.05549097099999999,0.103591633,0.129182102,0.052609851,0.110492386,0.064205623,0.08644205599999999,0.110492386,0.09720805699999999,0.142826919,0.11631744599999999,0.169864367,0.196320784689272,0.18947371600000001,0.21375644800000002,0.200162707,0.278533622,0.32922739,0.19239263,0.277810342,0.21777959600000002,0.257578659,0.277810342,0.288382814,0.350870881,0.295295204,0.36920239899999996
20,Crop,0.92140208516615,0.9174605109999999,0.91624603,0.9188749940000001,0.915031455,0.921075593,0.9212960790000001,0.921408683,0.921919877,0.915829749,0.921408683,0.9083486709999999,0.917936913,0.9151985579999999,0.929522947,0.152506677484235,0.128696528,0.166281858,0.153914519,0.186484288,0.19994873300000002,0.139228316,0.201367197,0.180039404,0.203517466,0.201367197,0.18575878199999998,0.179238891,0.20353419600000003,0.24849068100000002,0.293786428525399,0.266823531,0.33463339,0.307317468,0.385770299,0.40066459200000004,0.291188097,0.391314417,0.360672292,0.398871314,0.391314417,0.396091242,0.373312409,0.404712821,0.44382752299999995
21,DiatomSizeReduction,0.733333333333333,0.774166667,0.845,0.848333333,0.795,0.888333333,0.825,0.8766666670000001,0.8533333329999999,0.846666667,0.8766666670000001,0.8241666670000001,0.848333333,0.8475,0.9208333329999999,0.424977538185085,0.42044089799999995,0.606246368,0.6150178510000001,0.474303045,0.722745557,0.547039996,0.676070885,0.64193136,0.619810888,0.676070885,0.537259355,0.633387602,0.586417923,0.796769003,0.618578536825754,0.648908364,0.752626213,0.7561387690000001,0.6716986620000001,0.840384283,0.725108506,0.8034375509999999,0.781761879,0.7606248720000001,0.8034375509999999,0.7018004940000001,0.795912383,0.7533783479999999,0.866261429
22,DistalPhalanxOutlineAgeGroup,0.768107769423559,0.680556391,0.739958647,0.738951128,0.741469925,0.764362155,0.661216792,0.704051378,0.748260652,0.7448095240000001,0.704051378,0.7261303259999999,0.71133584,0.726431078,0.721800752,0.535737068742862,0.360186193,0.47945329,0.47737398,0.482500848,0.528337817,0.321408889,0.407464714,0.49606631799999995,0.48918686,0.407464714,0.45170091,0.42191306700000003,0.45245015200000005,0.44289653100000004,0.4035598206657591,0.320437574,0.395089423,0.377154995,0.401593879,0.41093140200000006,0.359834944,0.354072966,0.415316321,0.39693501700000006,0.354072966,0.40524244600000003,0.39670659,0.362772879,0.361867778
23,DistalPhalanxOutlineCorrect,0.516616583194213,0.513823595,0.512581525,0.50847468,0.5059065110000001,0.511406233,0.532200334,0.506377295,0.51296828,0.505598219,0.506377295,0.505598219,0.5119866439999999,0.504699499,0.503947134,0.0332686957304995,0.027319606,0.025014484,0.016518428,0.010816181000000001,0.02260031,0.064376536,0.011791999,0.025811965,0.010141438000000001,0.011791999,0.010141438000000001,0.023793901,0.008178466,0.006757938000000001,0.0253009224787173,0.018889295,0.017330318,0.010179266,0.0054762809999999995,0.015233008000000001,0.057637254000000006,0.006087660999999999,0.018069041,0.005018458,0.006087660999999999,0.005018458,0.01626314,0.00378823,0.003114407
24,DistalPhalanxTW,0.700012531328321,0.730135338,0.807426065,0.759518797,0.76012782,0.798365915,0.7290263159999999,0.7555789470000001,0.8075914790000001,0.734701754,0.7555789470000001,0.757535088,0.774615288,0.726655388,0.8213471179999999,0.259343687724544,0.333431605,0.546959443,0.418176315,0.43128728899999996,0.51779924,0.33256851600000004,0.41603736700000005,0.552284105,0.365244668,0.41603736700000005,0.43306578100000004,0.45166500299999995,0.355208019,0.577496084,0.444983265099805,0.455829096,0.54353604,0.489315981,0.524416724,0.532247606,0.45557834799999997,0.511105071,0.537115296,0.508906697,0.511105071,0.521333115,0.516348889,0.501750795,0.545776617
25,DodgerLoopDay,0.788877788877789,0.764202464,0.7587079590000001,0.765001665,0.762237762,0.7491508490000001,0.773992674,0.76040626,0.744455544,0.760705961,0.76040626,0.752414252,0.7456210459999999,0.752380952,0.796503497,0.19040151178188,0.124267609,0.161598124,0.181314169,0.196498148,0.158588032,0.127340697,0.162415256,0.183809444,0.220612095,0.162415256,0.18138623899999998,0.137054845,0.187694893,0.224194888,0.36805354221223,0.323894272,0.37362631,0.379263836,0.414052271,0.372199734,0.33747306299999996,0.38091000799999997,0.415908259,0.46347198,0.38091000799999997,0.40598621700000004,0.338050615,0.42894830700000003,0.43344909600000003
26,DodgerLoopGame,0.494736842105263,0.48473684200000006,0.476315789,0.47526315799999996,0.478947368,0.473684211,0.502105263,0.477368421,0.47526315799999996,0.478947368,0.477368421,0.478947368,0.473684211,0.478421053,0.482631579,-0.0044052863436123395,-0.01666614,-0.034456735,-0.040390201,-0.039800995,-0.046255507,0.018166591,-0.040597637,-0.041158112999999996,-0.039800995,-0.040597637,-0.039800995,-0.046255507,-0.040446446000000004,-0.033392322,0.037050681076413,0.031880156,0.00749417,0.004640245,0.00821823,0.0,0.07069526400000001,0.0057527609999999995,0.003675747,0.00821823,0.0057527609999999995,0.00821823,0.0,0.007396407,0.013085601
27,DodgerLoopWeekend,0.810526315789474,0.731578947,0.731578947,0.8194736840000001,0.828421053,0.855263158,0.9,0.7105263159999999,0.837368421,0.875263158,0.7105263159999999,0.828421053,0.663157895,0.8194736840000001,0.96,0.620842572062084,0.46434494200000004,0.46434494200000004,0.638713895,0.6565852179999999,0.71011493,0.799555802,0.424228341,0.674456541,0.7502880270000001,0.424228341,0.6565852179999999,0.330396476,0.638713895,0.9198223209999999,0.618977004017457,0.510243271,0.510243271,0.633181911,0.647386818,0.6812042779999999,0.761026072,0.48883840799999995,0.661591724,0.7377963240000001,0.48883840799999995,0.647386818,0.42079149200000004,0.633181911,0.904410429
28,Earthquakes,0.500783653567075,0.533565527,0.546198796,0.500950059,0.504696117,0.502244539,0.50364544,0.49975232700000005,0.577086357,0.502095548,0.49975232700000005,0.5057758170000001,0.502289042,0.507393433,0.540542946,-0.03635137877245889,-0.032786018,0.059176059,-0.039528861,-0.014477398,-0.031685432,-0.020103811,-0.028520185,0.079903156,-0.016852492,-0.028520185,-0.010777647,-0.033740575,-0.005024221,0.011552948,0.0292656669747642,0.005979531999999999,0.035750236,0.034209114,0.038029524,0.019772081,0.027353582,0.038794357,0.030879952999999998,0.038005641,0.038794357,0.03531359,0.022192851,0.041072159,0.004302337
29,ECG200,0.534545454545455,0.553494949,0.5576363639999999,0.580646465,0.585636364,0.578888889,0.598727273,0.589474747,0.633939394,0.61579798,0.589474747,0.6033939389999999,0.554282828,0.621494949,0.6278181820000001,0.0703147812026335,0.08880577199999999,0.101442201,0.145298208,0.138350691,0.129250903,0.182975742,0.163636737,0.247390279,0.20985028,0.163636737,0.183235533,0.09217536,0.220113693,0.24498626199999998,0.0676109358078297,0.05198479,0.072476855,0.08548285900000001,0.104380214,0.086698579,0.114846411,0.112217711,0.154196279,0.144426311,0.112217711,0.122830374,0.083103016,0.13786573300000002,0.154726347
30,ECG5000,0.726533066132265,0.710282966,0.739726653,0.709983968,0.7483158320000001,0.726808818,0.729663327,0.725086172,0.76591984,0.739455711,0.725086172,0.727786774,0.726326253,0.7604617229999999,0.766413627,0.43526245090877,0.40280717299999996,0.463698238,0.40102277399999997,0.48243654700000005,0.43667902,0.443187239,0.433141891,0.519099246,0.463125334,0.433141891,0.43903680100000003,0.43543039299999997,0.507461223,0.520457851,0.42263991814759694,0.36438106299999995,0.442446564,0.39789710899999997,0.48814310200000005,0.47443748799999996,0.407152157,0.454502255,0.468298583,0.489729299,0.454502255,0.471454431,0.45537741299999995,0.5034084879999999,0.552798013
31,ECGFiveDays,0.50197628458498,0.628458498,0.565217391,0.562055336,0.599209486,0.5351778660000001,0.562055336,0.614229249,0.5699604739999999,0.601581028,0.614229249,0.554940711,0.5256917,0.613438735,0.604743083,0.00393700787401575,0.256934958,0.13057411800000002,0.12420187199999999,0.198313273,0.07003430000000001,0.124097258,0.22842961399999998,0.140068729,0.20310906399999998,0.22842961399999998,0.10965902400000001,0.050941428,0.22687978399999997,0.20746741100000002,0.0599645489336315,0.226649247,0.148380015,0.133133778,0.170048762,0.147237808,0.140312562,0.24605224399999998,0.149527581,0.17231269800000001,0.24605224399999998,0.09753042,0.174494777,0.189615843,0.23095359
32,ElectricDevices,0.734670138725443,0.734923659,0.712579118,0.726791759,0.748019291,0.774766535,0.737036137,0.753523463,0.716569217,0.7395663990000001,0.753523463,0.7581804529999999,0.774332008,0.722087508,0.738167157,0.167952691255003,0.078764607,0.123674096,0.131294543,0.22937774,0.26564553,0.123376446,0.218250332,0.149114251,0.197756076,0.218250332,0.21676738199999998,0.260358139,0.183611238,0.12896661,0.257616745855702,0.147788021,0.280631317,0.22833095899999997,0.320034258,0.300296099,0.188310573,0.339500883,0.28356291100000003,0.301026862,0.339500883,0.313310878,0.328517954,0.31008404,0.250388872
33,EOGHorizontalSignal,0.861740714099876,0.85776465,0.8633262420000001,0.8608117409999999,0.8525030229999999,0.8529652129999999,0.856763747,0.855086393,0.859879708,0.845714023,0.855086393,0.854775715,0.868017018,0.84952327,0.849763548,0.146958365907697,0.13345579400000002,0.16866335600000001,0.144919084,0.169415996,0.205264172,0.139035567,0.183629154,0.16312904,0.174378625,0.183629154,0.17150976,0.24798482100000002,0.18252765,0.218549927,0.380669312589137,0.325877164,0.376188575,0.336957224,0.38736990299999996,0.41944338600000003,0.33752435399999997,0.40680431799999994,0.373619443,0.381978895,0.40680431799999994,0.39162827899999997,0.454114303,0.39791554,0.460110024
34,EOGVerticalSignal,0.825959198665463,0.84945134,0.8438621999999999,0.849460522,0.850609877,0.85482928,0.8524739440000001,0.8541467070000001,0.84842595,0.8451309290000001,0.8541467070000001,0.848263724,0.8605638109999999,0.847832142,0.8748106090000001,0.0647871017162544,0.08087758,0.097221062,0.094706134,0.127798422,0.16486452099999999,0.099448939,0.163774478,0.11605208800000001,0.13132712300000002,0.163774478,0.12901468800000002,0.188350275,0.134210297,0.23295217899999998,0.25276321787964,0.238854487,0.277419203,0.263055457,0.31020984,0.35355334899999996,0.25840223100000004,0.355230174,0.28772628699999997,0.31633327899999997,0.355230174,0.311835607,0.38659873,0.32286133,0.43226638700000003
35,EthanolLevel,0.576588090504592,0.606178011,0.611816403,0.605083783,0.591266686,0.5944980910000001,0.592336457,0.6076722210000001,0.604551264,0.601887879,0.6076722210000001,0.60664505,0.601252012,0.603175392,0.6237669220000001,0.00822472217554475,0.002968755,0.0032848559999999996,0.004002187,0.0056081559999999996,0.005453721999999999,0.003082187,0.0035591390000000002,0.0035878940000000003,0.002036099,0.0035591390000000002,0.004789308,0.005260015,0.0031615840000000003,0.008045547,0.0248386952365631,0.012511796,0.013723988999999999,0.013181678999999998,0.017130161,0.015345328,0.014680328999999999,0.014068472,0.0135791,0.010150507,0.014068472,0.014315282,0.014172981000000001,0.012201566,0.018237761
